,TargetX,TargetZ,PerspectiveShift,PointingAngle,TravelDistance
1,-1.076623,2.476062,0,336.5,2.7
2,0.1134103,2.597525,20.5,2.5,2.6
3,1.488668,0.5864023,24.5,68.5,1.6
4,-0.3374265,-1.461555,35.5,193,1.5
5,-1.962245,1.705754,46.5,311,2.6
6,0.6339275,1.359462,67.5,25,1.5
7,0.8830999,-1.334217,87,146.5,1.6
8,1.092739,1.302275,88.5,40,1.7
9,2.256464,1.076278,100,64.5,2.5
10,0.8816782,-1.213525,110.5,144,1.5
11,0.3735132,1.555792,116.5,13.5,1.6
12,-1.213526,0.8816775,127,306,1.5
13,2.494475,1.033246,133,67.5,2.7
14,-1.273225,1.126455,164.5,311.5,1.7
15,-0.7139167,1.431896,179.5,333.5,1.6
16,0.1924456,-1.689072,160,173.5,1.7
17,-0.104635,-1.496346,200.5,184,1.5
18,-1.302276,1.092739,203,310,1.7
19,2.116701,1.509827,215,54.5,2.6
20,1.509822,2.238401,215.5,34,2.7
21,-1.02846,-1.225671,227.5,220,1.6
22,2.047881,1.43394,234,55,2.5
23,1.302275,1.092739,248,50,1.7
24,-0.4635258,1.426585,269,342,1.5
25,0.5613607,2.640999,280,18,2.7
26,1.150943,-1.111454,282,164,1.6
27,-1.288329,2.372807,304,331.5,2.7
28,1.599939,0.01396203,310,89.5,1.6
29,1.538019,-0.4410199,327,106,1.6
30,-0.1307339,-1.494293,332,185,1.5
31,0.9750804,1.392558,344,35,1.7
32,-1.529296,2.225141,357,312.5,2.7
33,0.277837,1.575692,10.5,10,1.6
34,0.4688511,-2.658981,41,170,2.7
35,-0.7717849,2.691533,72,344,2.6
36,0.3534225,-2.878384,60,173,2.5
37,0.3290476,-2.679875,105,173,2.7
38,-1.015901,2.393313,122,337,2.6
39,1.504538,1.996589,152,37,2.5
40,-0.923453,-2.537171,159,200,2.7
41,0.8034444,-2.472748,195,162,2.6
42,-0.7263855,1.425611,209,333,1.6
43,1.056545,-2.26577,230,155,2.5
44,1.509821,2.238401,255,34,2.7
45,-0.9008629,1.441682,275,328,1.7
46,-0.8464772,-2.458349,290,199,2.6
47,0.7725418,-2.377642,320,162,2.5
48,-1.735527,2.06832,338,320,2.7
0,0,0,0,0,0
-1,0,0,0,0,0